,country__name,location,n,name
471,United States,SRID=4326;POINT (-77.61556 43.15478),1,Rochester
472,Egypt,SRID=4326;POINT (29.95527 31.21564),1,Alexandria
473,Hong Kong,SRID=4326;POINT (114.18333 22.31667),1,Kowloon
474,Italy,SRID=4326;POINT (12.9043 41.46614),1,Latina
475,Netherlands,SRID=4326;POINT (4.49306 52.0575),1,Zoetermeer
476,Japan,SRID=4326;POINT (140.86806 42.46806),1,Date
477,France,SRID=4326;POINT (7.26608 43.70313),1,Nice
478,United States,SRID=4326;POINT (-81.52151000000001 40.79672),1,Massillon
479,Kenya,SRID=4326;POINT (34.11169 0.46005),1,Busia
480,Ghana,SRID=4326;POINT (0.4713 6.60084),1,Ho
481,France,SRID=4326;POINT (3.53333 50.35),1,Valenciennes
482,Poland,SRID=4326;POINT (14.55302 53.42894),1,Szczecin
483,Cameroon,SRID=4326;POINT (9.241 4.1527),1,Buea
484,Turkey,SRID=4326;POINT (35.32889 37.00167),1,Adana
485,United States,SRID=4326;POINT (-75.49018 40.60843),1,Allentown
486,Senegal,SRID=4326;POINT (-17.44406 14.6937),1,Dakar
487,Burkina Faso,SRID=4326;POINT (-1.53388 12.36566),1,Ouagadougou
488,United States,SRID=4326;POINT (-122.03262 47.5301),1,Issaquah
489,Canada,SRID=4326;POINT (-122.95263 49.26636),1,Burnaby
490,United States,SRID=4326;POINT (-80.66285000000001 41.02423),1,Boardman
491,United States,SRID=4326;POINT (-112.35821 33.43532),1,Goodyear
492,Mexico,SRID=4326;POINT (-98.20346000000001 19.03793),1,Puebla
493,United States,SRID=4326;POINT (-79.14225 37.41375),1,Lynchburg
494,Brazil,SRID=4326;POINT (-47.45806 -23.50167),1,Sorocaba
495,Croatia,SRID=4326;POINT (14.44241 45.32673),1,Rijeka
496,United States,SRID=4326;POINT (-94.82552 38.74306),1,Spring Hill
497,Portugal,SRID=4326;POINT (-9.1838 38.79269),1,Odivelas
498,Australia,SRID=4326;POINT (146.80569 -19.26639),1,Townsville
499,Spain,SRID=4326;POINT (2.65024 39.56939),1,Palma
500,France,SRID=4326;POINT (-0.55 47.46667),1,Angers
501,Cyprus,SRID=4326;POINT (33.3642 35.17531),1,Nicosia
502,India,SRID=4326;POINT (83.20161 17.68009),1,Visakhapatnam
503,Colombia,SRID=4326;POINT (-74.78243999999999 9.790290000000001),1,Plato
504,Nigeria,SRID=4326;POINT (7.39577 6.85783),1,Nsukka
505,United States,SRID=4326;POINT (-77.94471 34.22573),1,Wilmington
506,India,SRID=4326;POINT (91.88312999999999 25.56892),1,Shillong
507,China,SRID=4326;POINT (113.13148 23.02677),1,Foshan
508,United Kingdom,SRID=4326;POINT (-3.40233 50.61723),1,Exmouth
509,United States,SRID=4326;POINT (-117.29116 34.53611),1,Victorville
510,United States,SRID=4326;POINT (-76.49661 42.44063),1,Ithaca
511,Slovakia,SRID=4326;POINT (18.92399 49.06651),1,Martin
512,United States,SRID=4326;POINT (-78.45639 35.65071),1,Clayton
513,United States,SRID=4326;POINT (-73.20483 41.16704),1,Bridgeport
514,Spain,SRID=4326;POINT (2.82493 41.98311),1,Girona
515,Finland,SRID=4326;POINT (25.66507 60.39233),1,Porvoo
516,Algeria,SRID=4326;POINT (7.42608 36.46214),1,Guelma
517,United Kingdom,SRID=4326;POINT (-2.70452 53.76282),1,Preston
518,United Arab Emirates,SRID=4326;POINT (55.43504 25.41111),1,Ajman
519,United States,SRID=4326;POINT (-122.44429 47.25288),1,Tacoma
520,Spain,SRID=4326;POINT (1.05949 41.06997),1,Cambrils
521,Germany,SRID=4326;POINT (6.76516 51.43247),1,Duisburg
522,United States,SRID=4326;POINT (-76.28522 36.84681),1,Norfolk
523,China,SRID=4326;POINT (113.64861 34.75778),1,Zhengzhou
524,Italy,SRID=4326;POINT (10.4036 43.70853),1,Pisa
525,Saudi Arabia,SRID=4326;POINT (42.50528 18.21639),1,Abha
526,Netherlands,SRID=4326;POINT (5.47778 51.44083),1,Eindhoven
527,Japan,SRID=4326;POINT (141.35 43.06667),1,Sapporo
528,Colombia,SRID=4326;POINT (-75.69611 4.81333),1,Pereira
529,United States,SRID=4326;POINT (-122.08385 37.38605),1,Mountain View
530,Italy,SRID=4326;POINT (15.55188 41.45845),1,Foggia
531,India,SRID=4326;POINT (78.03391999999999 30.32443),1,Dehra Dūn
532,Mexico,SRID=4326;POINT (-92.47165 17.00563),1,Pantelhó
533,Turkey,SRID=4326;POINT (26.55597 41.67719),1,Edirne
534,United Arab Emirates,SRID=4326;POINT (55.41206 25.33737),1,Sharjah
535,Sudan,SRID=4326;POINT (32.53241 15.55177),1,Khartoum
536,Italy,SRID=4326;POINT (13.45293 43.29789),1,Macerata
537,South Africa,SRID=4326;POINT (18.47617 -34.05515),1,Retreat
538,Japan,SRID=4326;POINT (130.69181 32.80589),1,Kumamoto
539,Vietnam,SRID=4326;POINT (105.84117 21.0245),1,Hanoi
540,Peru,SRID=4326;POINT (-80.63282 -5.19449),1,Piura
541,China,SRID=4326;POINT (118.29444 36.7975),1,Xindian
542,Germany,SRID=4326;POINT (11.09111 49.24762),1,Roth
543,Iran,SRID=4326;POINT (48.6842 31.31901),1,Ahvaz
544,Pakistan,SRID=4326;POINT (71.57849 34.008),1,Peshawar
545,United States,SRID=4326;POINT (-114.6244 32.72532),1,Yuma
